,Unnamed: 0,id,vid,url,year,month,day,time
0,0,41950,UYTGe1ixPcc,https://www.youtube.com/watch?v=UYTGe1ixPcc,2016.0,2.0,19.0,11:00:01
1,1,41718,pd3bErSrLio,https://www.youtube.com/watch?v=pd3bErSrLio,2012.0,5.0,10.0,22:05:48
2,2,41950,4_qZdxTeqvU,https://www.youtube.com/watch?v=4_qZdxTeqvU,,,,
3,3,40610,17DCH80pzRk,https://www.youtube.com/watch?v=17DCH80pzRk,2015.0,4.0,19.0,08:34:36
4,4,91515,BanqwWgLqt8,https://www.youtube.com/watch?v=BanqwWgLqt8,2015.0,2.0,7.0,17:11:33
5,5,109972,OFUo0kv-5uw,https://www.youtube.com/watch?v=OFUo0kv-5uw,2012.0,12.0,10.0,08:26:04
6,6,105222,g3HNsRMt6XQ,https://www.youtube.com/watch?v=g3HNsRMt6XQ,2016.0,1.0,12.0,19:00:00
7,7,59684,SrTcPLiReSA,https://www.youtube.com/watch?v=SrTcPLiReSA,2015.0,6.0,7.0,16:54:36
8,8,113766,rqDScxbMDqc,https://www.youtube.com/watch?v=rqDScxbMDqc,2016.0,5.0,24.0,16:31:01
9,9,76400,5Q_UYljqssk,https://www.youtube.com/watch?v=5Q_UYljqssk,2014.0,5.0,20.0,11:34:32
10,10,77721,LZXkdayGMBQ,https://www.youtube.com/watch?v=LZXkdayGMBQ,2015.0,12.0,12.0,11:00:00
11,11,59684,52SBQDrEjXU,https://www.youtube.com/watch?v=52SBQDrEjXU,2016.0,7.0,5.0,08:00:01
12,12,40570,LY3KrV1yRWE,https://www.youtube.com/watch?v=LY3KrV1yRWE,2012.0,10.0,3.0,18:33:16
13,13,77721,GasUDZrpDgE,https://www.youtube.com/watch?v=GasUDZrpDgE,2015.0,11.0,15.0,20:43:36
14,14,40567,AT_pPlJTiyE,https://www.youtube.com/watch?v=AT_pPlJTiyE,2008.0,8.0,22.0,15:21:57
15,15,53193,dBM3bGpnMWk,https://www.youtube.com/watch?v=dBM3bGpnMWk,2013.0,1.0,3.0,22:27:59
16,16,71781,nuhomPpLIwA,https://www.youtube.com/watch?v=nuhomPpLIwA,2014.0,8.0,26.0,00:29:32
17,17,105222,MG8Frk8xCnM,https://www.youtube.com/watch?v=MG8Frk8xCnM,2011.0,11.0,30.0,14:04:51
18,18,109972,pQSoBkZW2_o,https://www.youtube.com/watch?v=pQSoBkZW2_o,2015.0,7.0,27.0,14:39:44
19,19,91537,jxkyNQ8kQoQ,https://www.youtube.com/watch?v=jxkyNQ8kQoQ,2016.0,1.0,13.0,17:42:10
20,20,94276,5OG6cLUolpU,https://www.youtube.com/watch?v=5OG6cLUolpU,2015.0,4.0,3.0,15:07:16
21,21,113766,KlGzRoIMZbU,https://www.youtube.com/watch?v=KlGzRoIMZbU,2015.0,12.0,29.0,17:29:31
22,22,109972,hH1ainnOy6c,https://www.youtube.com/watch?v=hH1ainnOy6c,2014.0,6.0,22.0,10:52:46
23,23,87706,lGfZRSjmpDg,https://www.youtube.com/watch?v=lGfZRSjmpDg,2014.0,3.0,7.0,04:45:14
24,24,53195,u5I-0yFGNZQ,https://www.youtube.com/watch?v=u5I-0yFGNZQ,2017.0,2.0,13.0,04:47:15
25,25,77721,WVdIej08hF8,https://www.youtube.com/watch?v=WVdIej08hF8,2010.0,12.0,14.0,19:00:50
26,26,110266,Q-kS53I4ikE,https://www.youtube.com/watch?v=Q-kS53I4ikE,2014.0,8.0,6.0,14:22:28
27,27,105253,Vzq2iz_v-z4,https://www.youtube.com/watch?v=Vzq2iz_v-z4,2011.0,8.0,21.0,19:51:35
28,28,71781,6DSsyfBJC4U,https://www.youtube.com/watch?v=6DSsyfBJC4U,2015.0,10.0,11.0,21:00:00
29,29,96366,5fyUsbnfflY,https://www.youtube.com/watch?v=5fyUsbnfflY,2017.0,8.0,10.0,19:19:26
30,30,109972,_M5wluD9gGM,https://www.youtube.com/watch?v=_M5wluD9gGM,2015.0,8.0,30.0,22:51:33
31,31,95603,NrLU_sCrVXg,https://www.youtube.com/watch?v=NrLU_sCrVXg,2015.0,5.0,19.0,12:47:59
32,32,34938,_2uFcneXTkc,https://www.youtube.com/watch?v=_2uFcneXTkc,,,,
33,33,105762,ooVteOmAQlA,https://www.youtube.com/watch?v=ooVteOmAQlA,2017.0,4.0,6.0,07:15:22
34,34,41773,j9TLx0PpfCg,https://www.youtube.com/watch?v=j9TLx0PpfCg,,,,
35,35,40567,BmbIoOLbswA,https://www.youtube.com/watch?v=BmbIoOLbswA,2013.0,4.0,12.0,11:43:24
36,36,91515,mrZ4iZxCdFk,https://www.youtube.com/watch?v=mrZ4iZxCdFk,2011.0,8.0,17.0,18:53:44
37,37,44047,b21PQg4KOYg,https://www.youtube.com/watch?v=b21PQg4KOYg,2014.0,2.0,13.0,05:04:07
38,38,94276,-HHnfRzlZ7g,https://www.youtube.com/watch?v=-HHnfRzlZ7g,2014.0,8.0,1.0,00:24:44
39,39,23521,qLnTkIUO0so,https://www.youtube.com/watch?v=qLnTkIUO0so,2009.0,4.0,2.0,09:40:23
40,40,40567,en-Dh38rnGc,https://www.youtube.com/watch?v=en-Dh38rnGc,2012.0,11.0,5.0,20:42:50
41,41,105222,3PxUrdtHhH0,https://www.youtube.com/watch?v=3PxUrdtHhH0,2017.0,1.0,18.0,01:45:25
42,42,94276,CtYHzbG4WW4,https://www.youtube.com/watch?v=CtYHzbG4WW4,,,,
43,43,77721,JbQDyuJtwo4,https://www.youtube.com/watch?v=JbQDyuJtwo4,2014.0,1.0,9.0,22:46:37
44,44,105253,S7wF6S5ywo4,https://www.youtube.com/watch?v=S7wF6S5ywo4,2012.0,9.0,26.0,08:35:33
45,45,113766,92XW9NQ1PyM,https://www.youtube.com/watch?v=92XW9NQ1PyM,2011.0,2.0,10.0,15:58:20
46,46,91515,OdO9xCoIb3Q,https://www.youtube.com/watch?v=OdO9xCoIb3Q,2014.0,6.0,22.0,19:18:00
47,47,76400,IJLdwilaUwY,https://www.youtube.com/watch?v=IJLdwilaUwY,2015.0,12.0,11.0,21:20:49
48,48,23521,jGpbgR7Ku_4,https://www.youtube.com/watch?v=jGpbgR7Ku_4,2012.0,12.0,31.0,20:04:49
49,49,105222,bo355kAfADM,https://www.youtube.com/watch?v=bo355kAfADM,2016.0,10.0,2.0,05:33:43
50,50,40567,bQilMjXciTg,https://www.youtube.com/watch?v=bQilMjXciTg,2014.0,12.0,9.0,21:05:19
51,51,53193,vw8COk6oX8w,https://www.youtube.com/watch?v=vw8COk6oX8w,,,,
52,52,87706,Fyvnx0gl2NA,https://www.youtube.com/watch?v=Fyvnx0gl2NA,2014.0,6.0,24.0,12:00:04
53,53,41950,YHeRqY_W0dE,https://www.youtube.com/watch?v=YHeRqY_W0dE,2012.0,9.0,20.0,21:15:42
54,54,20898,zLboUNaPRNM,https://www.youtube.com/watch?v=zLboUNaPRNM,2014.0,8.0,28.0,06:08:18
55,55,71781,uf482GbeTC0,https://www.youtube.com/watch?v=uf482GbeTC0,,,,
56,56,91515,Ljj3yhmMt1s,https://www.youtube.com/watch?v=Ljj3yhmMt1s,2017.0,4.0,18.0,20:20:14
57,57,85159,lud785m7FbQ,https://www.youtube.com/watch?v=lud785m7FbQ,2013.0,10.0,27.0,07:38:47
58,58,76400,yMD-HAJWn-8,https://www.youtube.com/watch?v=yMD-HAJWn-8,2015.0,4.0,8.0,00:57:50
59,59,34967,npq83xNO5Q4,https://www.youtube.com/watch?v=npq83xNO5Q4,2013.0,5.0,20.0,21:57:57
60,60,16323,HFChRBFZfw4,https://www.youtube.com/watch?v=HFChRBFZfw4,2014.0,3.0,6.0,07:05:00
61,61,53193,69E9teZwhKA,https://www.youtube.com/watch?v=69E9teZwhKA,2013.0,3.0,24.0,15:08:10
62,62,29477,aSGokaFWg20,https://www.youtube.com/watch?v=aSGokaFWg20,2008.0,5.0,16.0,18:22:07
63,63,101028,jmfyWQqvhzA,https://www.youtube.com/watch?v=jmfyWQqvhzA,2014.0,2.0,11.0,00:59:28
64,64,105762,YL0CVkHfL40,https://www.youtube.com/watch?v=YL0CVkHfL40,2008.0,8.0,27.0,14:09:59
65,65,76400,TQOzuVP04GU,https://www.youtube.com/watch?v=TQOzuVP04GU,2014.0,4.0,13.0,16:07:51
66,66,85159,8aYsfcKGAzA,https://www.youtube.com/watch?v=8aYsfcKGAzA,2013.0,11.0,25.0,11:45:54
67,67,105222,ZkB3U7tKQbE,https://www.youtube.com/watch?v=ZkB3U7tKQbE,2015.0,10.0,6.0,02:40:20
68,68,72954,1kVK3bdd90s,https://www.youtube.com/watch?v=1kVK3bdd90s,2015.0,7.0,13.0,08:47:07
69,69,76400,EoboPkuvOIg,https://www.youtube.com/watch?v=EoboPkuvOIg,2016.0,2.0,11.0,12:40:50
70,70,53193,NZ9VgEhVkrY,https://www.youtube.com/watch?v=NZ9VgEhVkrY,2015.0,12.0,21.0,05:57:39
71,71,53204,gYiNCDJupYg,https://www.youtube.com/watch?v=gYiNCDJupYg,2013.0,5.0,17.0,14:11:04
72,72,71781,GWtTLqPiN0g,https://www.youtube.com/watch?v=GWtTLqPiN0g,,,,
73,73,109972,2Vd4i71klEw,https://www.youtube.com/watch?v=2Vd4i71klEw,2017.0,2.0,12.0,20:15:36
74,74,23521,XzEPzr-8SHU,https://www.youtube.com/watch?v=XzEPzr-8SHU,2017.0,4.0,13.0,08:28:31
75,75,91586,J4CWggrmS7s,https://www.youtube.com/watch?v=J4CWggrmS7s,2015.0,10.0,8.0,03:53:49
76,76,44789,WQcR5HzxMWY,https://www.youtube.com/watch?v=WQcR5HzxMWY,2014.0,5.0,17.0,21:10:12
77,77,44789,UiV5geQumHI,https://www.youtube.com/watch?v=UiV5geQumHI,2014.0,3.0,26.0,00:11:57
78,78,81790,z14z6GmM6EU,https://www.youtube.com/watch?v=z14z6GmM6EU,2014.0,3.0,11.0,22:25:02
79,79,91537,sUMI9PzSskg,https://www.youtube.com/watch?v=sUMI9PzSskg,2017.0,4.0,29.0,00:22:41
80,80,91515,oksqDooy6Ls,https://www.youtube.com/watch?v=oksqDooy6Ls,2013.0,1.0,2.0,01:57:18
81,81,94276,DseWZaSoXX8,https://www.youtube.com/watch?v=DseWZaSoXX8,2011.0,1.0,17.0,22:30:55
82,82,16815,2qa48Z2Rbx4,https://www.youtube.com/watch?v=2qa48Z2Rbx4,2012.0,3.0,27.0,23:22:29
83,83,93400,hlHiolQ9vEs,https://www.youtube.com/watch?v=hlHiolQ9vEs,2016.0,12.0,13.0,19:22:00
84,84,77721,-LIjGCwNhPg,https://www.youtube.com/watch?v=-LIjGCwNhPg,2014.0,4.0,13.0,08:38:50
85,85,23521,eu6PMfKFu3A,https://www.youtube.com/watch?v=eu6PMfKFu3A,,,,
